City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Marienburg,PL,2021-06-28 20:42:21,54.0359,19.0266,63.88,90,0,3.6
193,Chara,RU,2021-06-28 20:42:22,56.9064,118.2631,62.91,90,100,0.89
194,Berlevag,NO,2021-06-28 20:42:22,70.8578,29.0864,48.2,87,0,6.91
195,Kondoa,TZ,2021-06-28 20:42:23,-4.9,35.7833,55.89,85,60,1.5
196,Kloulklubed,PW,2021-06-28 20:40:01,7.0419,134.2556,77.5,72,81,6.85
197,Issa,RU,2021-06-28 20:42:23,53.8705,44.8578,70.25,91,45,6.15
198,Leningradskiy,RU,2021-06-28 20:42:23,69.3833,178.4167,37.56,86,100,1.41
199,Lompoc,US,2021-06-28 20:42:24,34.6391,-120.4579,88.21,71,1,18.41
200,Pallasovka,RU,2021-06-28 20:42:24,50.05,46.8833,79.2,62,76,8.84
201,Santa Cruz,BO,2021-06-28 20:41:13,-17.8,-63.1667,55.45,44,90,21.85
202,Tarkwa,GH,2021-06-28 20:42:25,5.3064,-1.9847,73.96,95,100,4.05
203,Ribeira Grande,PT,2021-06-28 20:42:25,38.5167,-28.7,70.2,88,40,10.36
204,Upernavik,GL,2021-06-28 20:42:25,72.7868,-56.1549,35.76,85,100,5.12
205,Marsh Harbour,BS,2021-06-28 20:42:26,26.5412,-77.0636,82.56,71,14,12.68
206,Shubarshi,KZ,2021-06-28 20:42:26,48.5872,57.1869,81.25,35,2,6.6
207,Olavarria,AR,2021-06-28 20:42:26,-36.8927,-60.3225,43.93,74,97,15.17
208,Dhidhdhoo,MV,2021-06-28 20:39:25,6.8833,73.1,82.8,76,89,14.72
209,Sao Joao Da Barra,BR,2021-06-28 20:42:27,-21.6403,-41.0511,75.29,83,2,15.32
210,Sanford,US,2021-06-28 20:41:05,28.8006,-81.2731,94.32,54,1,8.99
211,Coquimbo,CL,2021-06-28 20:42:27,-29.9533,-71.3436,60.53,55,0,9.22
212,Grindavik,IS,2021-06-28 20:42:28,63.8424,-22.4338,49.95,93,90,16.11
213,Miramar,US,2021-06-28 20:42:28,25.9873,-80.2323,86.02,85,90,6.91
214,Yulara,AU,2021-06-28 20:42:28,-25.2406,130.9889,48.04,57,90,5.75
215,Mayo,US,2021-06-28 20:42:28,38.8876,-76.5119,95.23,69,1,1.99
216,Hay River,CA,2021-06-28 20:42:29,60.8156,-115.7999,73.36,49,40,5.75
217,Thinadhoo,MV,2021-06-28 20:42:29,0.5333,72.9333,82.26,73,48,9.53
218,Gobabis,NA,2021-06-28 20:42:29,-22.45,18.9667,57.54,27,3,11.3
219,Kushmurun,KZ,2021-06-28 20:42:30,52.4503,64.6311,66.87,63,26,6.38
220,The Valley,AI,2021-06-28 20:39:24,18.217,-63.0578,85.86,74,40,16.11
221,Vila Velha,BR,2021-06-28 20:40:52,-20.3297,-40.2925,78.96,59,0,11.5
222,Porto Walter,BR,2021-06-28 20:42:30,-8.2686,-72.7439,76.96,87,99,1.19
223,Gimli,CA,2021-06-28 20:42:31,50.6336,-96.9907,79.43,60,0,13.8
224,Chokurdakh,RU,2021-06-28 20:42:31,70.6333,147.9167,43.23,77,100,12.39
225,Chuy,UY,2021-06-28 20:42:31,-33.6971,-53.4616,44.33,85,100,21.72
226,Yatou,CN,2021-06-28 20:42:32,37.15,122.3833,68.27,96,30,5.57
227,Vostok,RU,2021-06-28 20:42:32,46.4856,135.8833,60.71,92,27,2.15
228,Skeldon,GY,2021-06-28 20:42:32,5.8833,-57.1333,79.52,82,69,6.46
229,Camana,PE,2021-06-28 20:42:33,-16.6228,-72.7111,64.72,76,28,7.27
230,Taltal,CL,2021-06-28 20:42:33,-25.4,-70.4833,66.22,54,0,5.44
231,Kirkuk,IQ,2021-06-28 20:38:27,35.4681,44.3922,94.32,11,0,5.19
232,Saldanha,ZA,2021-06-28 20:42:33,-33.0117,17.9442,51.85,88,100,7.49
233,Kalamazoo,US,2021-06-28 20:42:34,42.2506,-85.55,86.29,61,40,13.8
234,Urbino,IT,2021-06-28 20:42:34,43.7298,12.6356,75.29,49,1,6.6
235,Kushiro,JP,2021-06-28 20:42:34,42.975,144.3747,56.95,96,100,4.21
236,Lata,PT,2021-06-28 20:42:35,40.1629,-8.3327,59.92,89,8,4.47
237,Srednekolymsk,RU,2021-06-28 20:42:35,67.45,153.6833,84.16,25,2,15.05
238,Ban Chang,TH,2021-06-28 20:42:35,12.7254,101.0553,86.43,94,20,3.44
239,San Ramon,US,2021-06-28 20:42:36,37.7799,-121.978,92.62,48,1,5.01
240,Umm Lajj,SA,2021-06-28 20:42:36,25.0213,37.2685,90.27,36,0,8.48
241,Shingu,JP,2021-06-28 20:42:36,33.7333,135.9833,71.91,93,100,2.59
242,Sur,OM,2021-06-28 20:42:37,22.5667,59.5289,85.71,59,0,10.31
243,Alyangula,AU,2021-06-28 20:42:37,-13.8483,136.4192,60.67,100,12,0.0
244,Puerto Madero,MX,2021-06-28 20:42:37,14.7208,-92.4215,83.61,70,78,7.16
245,Port Blair,IN,2021-06-28 20:39:04,11.6667,92.75,81.48,79,100,6.71
246,Khani,GE,2021-06-28 20:42:38,41.9563,42.9566,63.97,99,95,1.63
247,Kenai,US,2021-06-28 20:42:38,60.5544,-151.2583,57.29,81,90,13.8
248,Hasaki,JP,2021-06-28 20:42:38,35.7333,140.8333,68.4,97,100,22.21
249,Aklavik,CA,2021-06-28 20:42:39,68.2191,-135.0107,75.92,35,40,8.05
250,Ayr,GB,2021-06-28 20:39:26,55.4627,-4.6339,66.09,77,0,5.75
251,Mogadishu,SO,2021-06-28 20:41:53,2.0371,45.3438,76.98,87,79,14.94
252,Kruisfontein,ZA,2021-06-28 20:42:39,-34.0033,24.7314,54.88,83,100,12.17
253,Sola,VU,2021-06-28 20:42:40,-13.8833,167.55,79.54,75,22,8.03
254,Liverpool,GB,2021-06-28 20:41:07,53.4106,-2.9779,61.43,77,100,3.56
255,Vestmannaeyjar,IS,2021-06-28 20:42:40,63.4427,-20.2734,50.99,87,20,12.66
256,Jacareacanga,BR,2021-06-28 20:42:40,-6.2222,-57.7528,84.78,63,69,0.87
257,Sarangani,PH,2021-06-28 20:42:41,5.4033,125.4636,81.73,76,10,3.65
258,Pangnirtung,CA,2021-06-28 20:42:41,66.1451,-65.7125,44.6,70,90,17.27
259,Omidiyeh,IR,2021-06-28 20:42:42,30.7597,49.705,87.55,31,53,5.77
260,Jiayuguan,CN,2021-06-28 20:42:42,39.8167,98.3,63.1,28,0,2.19
261,Basco,PH,2021-06-28 20:42:42,20.4487,121.9702,83.77,84,100,22.79
262,Dunedin,NZ,2021-06-28 20:42:42,-45.8742,170.5036,43.81,45,85,32.01
263,Ostrovnoy,RU,2021-06-28 20:42:43,68.0531,39.5131,57.2,74,93,5.88
264,Kitzbuhel,AT,2021-06-28 20:42:43,47.4464,12.3922,69.58,73,99,6.38
265,Haines Junction,CA,2021-06-28 20:42:43,60.7522,-137.5108,71.55,43,100,4.61
266,Pangody,RU,2021-06-28 20:42:44,65.85,74.4859,42.48,72,28,12.3
267,Camalu,MX,2021-06-28 20:42:44,30.85,-116.0667,76.42,65,5,9.62
268,Gisborne,NZ,2021-06-28 20:42:44,-38.6533,178.0042,43.95,88,59,17.83
269,Sambava,MG,2021-06-28 20:42:45,-14.2667,50.1667,69.37,88,14,9.62
270,Ponta Delgada,PT,2021-06-28 20:42:45,37.7333,-25.6667,70.52,100,40,5.75
271,Katangli,RU,2021-06-28 20:42:45,51.7102,143.2326,47.17,83,22,12.68
272,Atar,MR,2021-06-28 20:42:46,20.5169,-13.0499,98.58,9,23,11.3
