City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
151,Ketchikan,US,2021-06-30 19:37:57,55.3422,-131.6461,66.67,59,1,14.97,clear sky,0.0,0.0
152,Caluquembe,AO,2021-06-30 19:37:58,-13.7833,14.6833,59.23,24,100,2.64,overcast clouds,0.0,0.0
153,Fairbanks,US,2021-06-30 19:37:58,64.8378,-147.7164,68.02,54,1,1.01,clear sky,0.0,0.0
154,Leningradskiy,RU,2021-06-30 19:37:58,69.3833,178.4167,33.96,87,100,10.09,light rain,0.0,0.0
155,Bambous Virieux,MU,2021-06-30 19:37:59,-20.3428,57.7575,73.65,83,75,18.41,light rain,0.0,0.0
156,Lorengau,PG,2021-06-30 19:37:59,-2.0226,147.2712,80.64,78,16,7.29,few clouds,0.0,0.0
157,Am Timan,TD,2021-06-30 19:37:59,11.0297,20.2827,80.69,53,91,5.59,overcast clouds,0.0,0.0
158,Urengoy,RU,2021-06-30 19:38:00,65.9667,78.3667,51.13,59,67,6.42,broken clouds,0.0,0.0
159,Necaxa,MX,2021-06-30 19:38:00,20.2167,-98.0,70.32,82,100,4.09,overcast clouds,0.0,0.0
160,Plettenberg Bay,ZA,2021-06-30 19:38:00,-34.0527,23.3716,58.82,52,1,9.48,clear sky,0.0,0.0
161,Arraial Do Cabo,BR,2021-06-30 19:38:01,-22.9661,-42.0278,66.06,63,75,21.85,broken clouds,0.0,0.0
162,Varena,LT,2021-06-30 19:38:01,54.2167,24.5667,74.05,80,19,5.7,few clouds,0.0,0.0
163,Nikolskoye,RU,2021-06-30 19:38:01,59.7035,30.7861,73.29,71,0,2.66,clear sky,0.0,0.0
164,Dharmanagar,IN,2021-06-30 19:38:02,24.3667,92.1667,76.51,94,100,5.17,light rain,0.0,0.0
165,Saint-Augustin,CA,2021-06-30 19:38:02,51.226,-58.6502,59.0,77,100,1.68,overcast clouds,0.0,0.0
166,Dongsheng,CN,2021-06-30 19:38:02,39.8161,109.9776,68.27,21,100,7.2,overcast clouds,0.0,0.0
167,Pahrump,US,2021-06-30 19:35:04,36.2083,-115.9839,91.26,30,94,3.0,overcast clouds,0.0,0.0
168,Vanimo,PG,2021-06-30 19:38:03,-2.6741,141.3028,75.33,88,100,3.91,light rain,0.0,0.0
169,Port Alfred,ZA,2021-06-30 19:38:03,-33.5906,26.891,60.53,44,27,9.01,scattered clouds,0.0,0.0
170,Kampong Cham,KH,2021-06-30 19:38:03,11.9934,105.4635,78.33,81,28,6.26,scattered clouds,0.0,0.0
171,Lompoc,US,2021-06-30 19:38:04,34.6391,-120.4579,85.69,75,40,13.8,scattered clouds,0.0,0.0
172,Takoradi,GH,2021-06-30 19:38:04,4.8845,-1.7554,77.14,84,100,8.01,overcast clouds,0.0,0.0
173,Matagami,CA,2021-06-30 19:38:04,49.7502,-77.6328,69.91,43,1,13.8,clear sky,0.0,0.0
174,Mount Isa,AU,2021-06-30 19:38:05,-20.7333,139.5,58.77,47,5,8.05,clear sky,0.0,0.0
175,Wawa,NG,2021-06-30 19:38:05,9.9022,4.4192,81.75,64,94,1.97,light rain,0.0,0.0
176,Comodoro Rivadavia,AR,2021-06-30 19:38:05,-45.8667,-67.5,55.26,54,0,3.44,clear sky,0.0,0.0
177,Berlevag,NO,2021-06-30 19:38:06,70.8578,29.0864,51.8,71,75,6.91,broken clouds,0.0,0.0
178,Piacabucu,BR,2021-06-30 19:38:06,-10.4056,-36.4344,75.94,83,99,7.34,overcast clouds,0.0,0.0
179,Tuatapere,NZ,2021-06-30 19:38:06,-46.1333,167.6833,37.81,90,88,3.78,overcast clouds,0.0,0.0
180,Chaman,PK,2021-06-30 19:38:07,30.9236,66.4512,80.08,11,0,5.97,clear sky,0.0,0.0
181,Mehamn,NO,2021-06-30 19:38:07,71.0357,27.8492,51.98,66,75,13.8,broken clouds,0.0,0.0
182,Vostok,RU,2021-06-30 19:38:07,46.4856,135.8833,54.03,99,100,3.15,moderate rain,0.0,0.0
183,Puerto Ayora,EC,2021-06-30 19:38:08,-0.7393,-90.3518,80.56,84,55,7.0,broken clouds,0.0,0.0
184,Aklavik,CA,2021-06-30 19:38:08,68.2191,-135.0107,65.12,55,75,3.44,broken clouds,0.0,0.0
185,Haveri,IN,2021-06-30 19:38:08,14.8,75.4,74.44,88,100,10.94,overcast clouds,0.0,0.0
186,Tarko-Sale,RU,2021-06-30 19:38:09,64.9225,77.785,55.9,48,100,6.31,overcast clouds,0.0,0.0
187,Bowen,AU,2021-06-30 19:38:09,-20.0167,148.2333,68.22,89,70,10.13,broken clouds,0.0,0.0
188,Mount Gambier,AU,2021-06-30 19:38:09,-37.8333,140.7667,48.11,100,90,5.75,overcast clouds,0.0,0.0
189,Gobabis,NA,2021-06-30 19:38:10,-22.45,18.9667,56.66,26,15,7.9,few clouds,0.0,0.0
190,Acapulco,MX,2021-06-30 19:38:10,16.8634,-99.8901,85.82,70,75,9.22,broken clouds,0.0,0.0
191,Palembang,ID,2021-06-30 19:38:10,-2.9167,104.7458,74.59,90,100,3.15,overcast clouds,0.0,0.0
192,College,US,2021-06-30 19:38:11,64.8569,-147.8028,68.0,52,75,10.36,broken clouds,0.0,0.0
193,Careiro Da Varzea,BR,2021-06-30 19:38:11,-3.2003,-59.8119,79.43,48,2,0.92,light rain,0.0,0.0
194,Wagar,SD,2021-06-30 19:38:11,16.1525,36.2032,90.01,40,99,18.75,overcast clouds,0.0,0.0
195,Kuching,MY,2021-06-30 19:38:12,1.55,110.3333,75.42,94,40,0.0,scattered clouds,0.0,0.0
196,Port Elizabeth,ZA,2021-06-30 19:38:12,-33.918,25.5701,65.1,87,20,4.61,few clouds,0.0,0.0
197,Tarrafal,CV,2021-06-30 19:38:12,15.2833,-23.7667,79.59,83,3,13.91,clear sky,0.0,0.0
198,Lincoln,US,2021-06-30 19:35:50,40.8,-96.667,84.79,62,1,1.99,clear sky,0.0,0.0
199,Khvalynsk,RU,2021-06-30 19:38:13,52.4906,48.1058,65.73,91,0,6.4,clear sky,0.0,0.0
200,Daru,PG,2021-06-30 19:38:13,-9.0763,143.2092,77.09,90,100,15.08,overcast clouds,0.0,0.0
201,Hue,VN,2021-06-30 19:36:09,16.4667,107.6,87.91,58,20,4.61,few clouds,0.0,0.0
202,Provideniya,RU,2021-06-30 19:38:14,64.3833,-173.3,44.71,93,90,6.71,overcast clouds,0.0,0.0
203,Porto Novo,BJ,2021-06-30 19:38:14,6.4965,2.6036,80.42,81,51,5.59,broken clouds,0.0,0.0
204,Kalabo,ZM,2021-06-30 19:38:14,-14.97,22.6814,60.17,27,54,5.01,broken clouds,0.0,0.0
205,Ngunguru,NZ,2021-06-30 19:38:15,-35.6167,174.5,43.16,72,0,9.04,clear sky,0.0,0.0
206,Coihaique,CL,2021-06-30 19:38:15,-45.5752,-72.0662,43.41,93,90,0.0,overcast clouds,0.0,0.0
207,Oka,CA,2021-06-30 19:34:42,45.4649,-74.0889,86.25,85,92,5.75,overcast clouds,0.0,0.0
208,Navrongo,GH,2021-06-30 19:38:15,10.8956,-1.0921,87.4,49,100,6.35,overcast clouds,0.0,0.0
209,Kelowna,CA,2021-06-30 19:36:54,49.8831,-119.4857,116.65,23,1,2.3,clear sky,0.0,0.0
210,Maceio,BR,2021-06-30 19:38:16,-9.6658,-35.7353,74.64,94,90,6.91,overcast clouds,0.0,0.0
211,Cozumel,MX,2021-06-30 19:36:46,20.5083,-86.9458,82.99,83,90,8.01,overcast clouds,0.0,0.0
212,Houston,US,2021-06-30 19:36:38,29.7633,-95.3633,93.56,64,20,4.0,few clouds,0.0,0.0
213,Sterling,US,2021-06-30 19:35:55,39.0062,-77.4286,98.76,47,40,1.01,scattered clouds,0.0,0.0
214,Killybegs,IE,2021-06-30 19:38:16,54.6333,-8.45,56.91,89,100,5.84,overcast clouds,0.0,0.0
215,Baiyin,CN,2021-06-30 19:38:17,36.5583,104.2081,56.28,57,99,10.4,overcast clouds,0.0,0.0
216,Naze,JP,2021-06-30 19:38:18,28.3667,129.4833,76.68,89,100,19.89,moderate rain,0.0,0.0
217,Kimbe,PG,2021-06-30 19:38:18,-5.5502,150.1429,73.99,91,21,4.27,few clouds,0.0,0.0
218,Nome,US,2021-06-30 19:38:18,64.5011,-165.4064,51.87,87,90,9.22,light rain,0.0,0.0
219,Tingi,TZ,2021-06-30 19:38:19,-11.3,35.0333,58.8,68,6,3.06,clear sky,0.0,0.0
220,Avera,US,2021-06-30 19:38:19,33.194,-82.5271,91.9,48,99,5.99,overcast clouds,0.0,0.0
221,Iseyin,NG,2021-06-30 19:38:20,7.9667,3.6,74.44,87,98,6.17,overcast clouds,0.0,0.0
222,Zhuanghe,CN,2021-06-30 19:38:20,39.7008,122.9911,67.05,97,57,3.11,heavy intensity rain,0.0,0.0
223,Pecos,US,2021-06-30 19:38:20,31.4229,-103.4932,81.05,88,75,9.22,broken clouds,0.0,0.0
224,Coquimbo,CL,2021-06-30 19:38:21,-29.9533,-71.3436,55.13,76,75,10.36,broken clouds,0.0,0.0
