City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Beloha,MG,62.96,clear sky,-25.1667,45.05,
234,Port Blair,IN,82.08,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
236,Ixtapa,MX,85.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
237,Pochutla,MX,83.25,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
239,North Platte,US,81.0,overcast clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
240,Grand Gaube,MU,73.8,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
241,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
242,Sobolevo,RU,61.93,clear sky,54.4299,31.8996,
244,Yerbogachen,RU,57.11,overcast clouds,61.2767,108.0108,
245,Kargopol,RU,58.15,overcast clouds,61.5071,38.9456,Moroshka Inn
246,Airai,TL,54.64,few clouds,-8.9266,125.4092,Juvinal Martin
247,Sligo,IE,57.13,clear sky,54.2697,-8.4694,4 Star Sligo Southern Hotel & Leisure Centre
249,Solnechnyy,RU,51.17,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
251,Mikkeli,FI,65.14,clear sky,61.6886,27.2723,"Original Sokos Hotel Vaakuna, Mikkeli"
252,Tautira,PF,82.42,overcast clouds,-17.7333,-149.15,Pension Oaoa
253,Astana,KZ,60.75,clear sky,51.1801,71.446,King Hotel Astana
254,Vardo,NO,52.0,few clouds,70.3705,31.1107,Vardø Hotel AS
255,Chuy,UY,53.67,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
256,Whitehorse,CA,65.17,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
258,Souillac,MU,73.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
259,Sabzevar,IR,85.05,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
260,Labuan,MY,75.56,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
261,Port Lincoln,AU,50.29,clear sky,-34.7333,135.8667,Port Lincoln Hotel
262,Vila Do Maio,CV,79.59,clear sky,15.1333,-23.2167,Hotel Marilu
263,Ellisras,ZA,60.08,clear sky,-23.6649,27.7443,Lapa le le guesthouse
264,Vao,NC,67.37,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
265,Barranca,PE,67.14,few clouds,-10.75,-77.7667,El Olivar Hospedaje
266,Novikovo,RU,62.85,overcast clouds,51.1537,37.8879,
267,Faanui,PF,80.38,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
268,Brae,GB,55.31,scattered clouds,60.3964,-1.353,Busta House Hotel
269,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
270,Biloela,AU,59.45,broken clouds,-24.4167,150.5,Silo Motor Inn
271,Pisco,PE,64.45,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
272,Quatre Cocos,MU,73.51,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
273,Sinnamary,GF,80.82,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
274,Norman Wells,CA,66.24,broken clouds,65.282,-126.8329,Heritage Hotel
275,Maumere,ID,76.37,overcast clouds,-8.6199,122.2111,Sylvia Hotel
277,Santiago Del Estero,AR,66.11,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
278,Saskylakh,RU,55.76,scattered clouds,71.9167,114.0833,
279,Samarai,PG,78.49,overcast clouds,-10.6167,150.6667,Nuli Sapi
280,Ozu,JP,74.17,overcast clouds,33.5,132.55,HOTEL FOREST
281,Lingao,CN,82.45,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
282,Melfort,CA,87.93,clear sky,52.8667,-104.6177,Carra Valla Inn
283,Marawi,PH,67.64,overcast clouds,7.9986,124.2928,Derogongan Residence
284,Oranienburg,DE,64.22,light rain,52.75,13.2333,Hotel An Der Havel Oranienburg
286,Kudahuvadhoo,MV,82.35,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
287,Sfantu Gheorghe,RO,62.53,overcast clouds,45.8667,25.7833,Hotel Park
288,Pangody,RU,57.27,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
289,Stornoway,GB,54.93,scattered clouds,58.2093,-6.3865,Caladh Inn
291,Ambilobe,MG,67.5,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
293,Baoding,CN,73.06,broken clouds,38.8511,115.4903,Xiu Lan Hotel
294,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
295,Orbetello,IT,80.06,clear sky,42.4408,11.2196,Argentario Golf Resort & Spa
296,Thunder Bay,CA,77.99,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
297,Tarnogskiy Gorodok,RU,60.78,overcast clouds,60.4997,43.5761,Hotel Rus
298,Gualeguay,AR,52.63,overcast clouds,-33.1416,-59.3097,Cabañas Nuestro Refugio
